charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
National Parks Conservation Association,Thomas Kiernan,31618029,2012,Environment,DC,5698602,15043215,206,339698,42599,1919,1998,male,Stanford University,MBA,95,,DC,Environment,MBA,male,382297,93,14,0
National Parks Conservation Association,Thomas Kiernan,23965252,2010,Environment,DC,7888804,14953239,200,343653,44142,1919,1998,male,Stanford University,MBA,95,,DC,Environment,MBA,male,387795,91,12,0
National Parks Conservation Association,Thomas Kiernan,23639978,2011,Environment,DC,8223073,16247382,208,412022,0,1919,1998,male,Stanford University,MBA,95,,DC,Environment,MBA,male,412022,92,13,0
FIRST,Jonathan Dudas,43285500,2012,Education,NH,1124347,9118540,135,307793,131512,1989,2010,male,University of Chicago,JD,97,,NH,Education,JD,male,439305,23,2,0
FIRST,Jonathan Dudas,40055674,2011,Education,NH,881909,8371568,124,454071,0,1989,2010,male,University of Chicago,JD,97,,NH,Education,JD,male,454071,22,1,0
DonorsChoose.org,Charles Best,77378201,2014,Education,NY,3407550,7128375,133,291963,43034,2000,2000,male,Yale University,B.A.,97,,NY,Education,B.A.,male,334997,14,14,1
DonorsChoose.org,Charles Best,60854821,2013,Education,NY,2875056,6142141,104,258646,40027,2000,2000,male,Yale University,B.A.,97,,NY,Education,B.A.,male,298673,13,13,1
DonorsChoose.org,Charles Best,52474931,2012,Education,NY,1373623,5243668,87,241303,32380,2000,2000,male,Yale University,B.A.,97,,NY,Education,B.A.,male,273683,12,12,1
DonorsChoose.org,Charles Best,41145968,2011,Education,NY,1267724,4649014,98,233916,3020,2000,2000,male,Yale University,B.A.,97,,NY,Education,B.A.,male,236936,11,11,1
DonorsChoose.org,Charles Best,32681400,2010,Education,NY,775847,4345232,81,189672,0,2000,2000,male,Yale University,B.A.,97,,NY,Education,B.A.,male,189672,10,10,1
